epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,57,,,,,,,,,,,,,,,,,,,,,,0.7691298723220825,0.4293133318424225,0.8020049929618835,0.8501063585281372,0.5937215685844421,0.7818965315818787,4.605134010314941,0.8539292812347412,0.5992215871810913,0.6638560891151428,0.790517270565033,0.7498877644538879,0.8620689511299133
0,57,3806.965576171875,3827.575439453125,3773.57861328125,3813.8759765625,32.17119598388672,5.746170520782471,0.01827857457101345,0.01819511689245701,0.01807139255106449,0.022485816851258278,0.9607872366905212,1.013056993484497,0.9743245840072632,1.0460758209228516,0.16502635180950165,0.16287261247634888,0.1633204221725464,0.1921660304069519,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,115,,,,,,,,,,,,,,,,,,,,,,0.8108392357826233,0.46803855895996094,0.801451563835144,0.89279705286026,0.6439714431762695,0.7909482717514038,4.34818696975708,0.8931722044944763,0.6394388675689697,0.6895885467529297,0.7844827771186829,0.7770469784736633,0.857758641242981
1,115,3877.769287109375,3720.721923828125,3757.19287109375,3813.293212890625,13.120817184448242,4.450592517852783,0.016703052446246147,0.016735589131712914,0.016829637810587883,0.022163068875670433,0.6626331210136414,0.691920816898346,0.6653051972389221,0.746164858341217,0.15509484708309174,0.15577413141727448,0.1552138477563858,0.19512341916561127,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,173,,,,,,,,,,,,,,,,,,,,,,0.8112673163414001,0.49806854128837585,0.8449012637138367,0.9049219489097595,0.6553017497062683,0.8090517520904541,4.052952766418457,0.8975077271461487,0.6546679139137268,0.7295417785644531,0.8012930750846863,0.8208333253860474,0.8706896305084229
2,173,3873.8017578125,3724.169189453125,3743.2490234375,3830.55615234375,9.320133209228516,3.98624587059021,0.01652752049267292,0.016567720100283623,0.016284311190247536,0.01883024349808693,0.582122802734375,0.5927613377571106,0.5837766528129578,0.656162440776825,0.14900995790958405,0.14940056204795837,0.14782971143722534,0.168946772813797,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
3,231,,,,,,,,,,,,,,,,,,,,,,0.8185283541679382,0.508746325969696,0.8399783372879028,0.9105491042137146,0.665738046169281,0.800000011920929,3.9999380111694336,0.9135400652885437,0.6636373400688171,0.7292494177818298,0.7961207032203674,0.8188506364822388,0.8706896305084229
3,231,3881.634765625,3740.018310546875,3766.601318359375,3825.716552734375,8.869756698608398,3.9296603202819824,0.016228217631578445,0.016190480440855026,0.01609533280134201,0.01864910125732422,0.5750519037246704,0.5816460847854614,0.5741099715232849,0.6378276348114014,0.14888449013233185,0.14902418851852417,0.1480059027671814,0.16669023036956787,,,,,,,,,,,,,,,,
4,249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
4,289,,,,,,,,,,,,,,,,,,,,,,0.770820140838623,0.47847941517829895,0.8368931412696838,0.8904533982276917,0.6518042683601379,0.7987068891525269,4.300051689147949,0.892248272895813,0.6246497631072998,0.7024906873703003,0.7681034207344055,0.8298438787460327,0.8448275923728943
4,289,3874.3447265625,3745.803955078125,3750.177734375,3813.574462890625,7.164170265197754,3.6865878105163574,0.015550822950899601,0.015592296607792377,0.015422544442117214,0.017365435138344765,0.5263726711273193,0.533326268196106,0.5283650159835815,0.5853428840637207,0.14626236259937286,0.1455768346786499,0.1448737531900406,0.1600494533777237,,,,,,,,,,,,,,,,
5,299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
5,347,,,,,,,,,,,,,,,,,,,,,,0.8161078691482544,0.5312738418579102,0.855466365814209,0.9181646704673767,0.680171012878418,0.8073275685310364,3.8828959465026855,0.9064985513687134,0.6736908555030823,0.7496119737625122,0.806034505367279,0.8504504561424255,0.8620689511299133
5,347,3871.30712890625,3703.961181640625,3710.403076171875,3806.4365234375,5.727388381958008,3.550978899002075,0.014781417325139046,0.014900646172463894,0.01493759173899889,0.016730116680264473,0.5124072432518005,0.5123623013496399,0.510978102684021,0.5648759603500366,0.13929879665374756,0.13900171220302582,0.13972947001457214,0.15377292037010193,,,,,,,,,,,,,,,,
6,349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
6,399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
