epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
0,57,,,,,,,,,,,,,,,,,,,,,,,,,,0.7743647694587708,0.46233654022216797,0.6702299118041992,0.850621223449707,0.6171343326568604,0.8073275685310364,6.815958499908447,0.8531876802444458,0.6183506846427917,0.6792571544647217,0.8056034445762634,0.6700533628463745,0.7629310488700867
0,57,3700.925537109375,3839.105712890625,3835.206787109375,3826.66162109375,3866.340576171875,46.521324157714844,7.610830307006836,0.016417477279901505,0.016721881926059723,0.016590194776654243,0.01653408072888851,0.018569305539131165,1.1328152418136597,1.1554672718048096,1.1339031457901,1.1346787214279175,1.1190152168273926,0.14771117269992828,0.14836663007736206,0.14816083014011383,0.1479242593050003,0.1632308065891266,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
1,115,,,,,,,,,,,,,,,,,,,,,,,,,,0.8200652599334717,0.479723185300827,0.8308563232421875,0.8960437178611755,0.6545215249061584,0.8181034326553345,5.280399799346924,0.8880385160446167,0.6498942375183105,0.7011946439743042,0.8146551847457886,0.841231107711792,0.8232758641242981
1,115,3549.3740234375,3848.34814453125,3831.853515625,3836.851318359375,3875.5830078125,14.749114036560059,5.820201396942139,0.015888195484876633,0.01567947305738926,0.015578544698655605,0.01578925922513008,0.017296811565756798,0.7137354612350464,0.8279010653495789,0.7421306371688843,0.7114153504371643,0.9582706093788147,0.14519630372524261,0.1430123895406723,0.14303240180015564,0.14368946850299835,0.15786172449588776,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
2,173,,,,,,,,,,,,,,,,,,,,,,,,,,0.8113244771957397,0.49857860803604126,0.8290097713470459,0.8917765021324158,0.6513263583183289,0.818965494632721,5.04958438873291,0.8951617479324341,0.6549515128135681,0.7310293912887573,0.8198275566101074,0.820105791091919,0.8448275923728943
2,173,3698.40185546875,3849.919189453125,3834.925537109375,3851.914794921875,3876.46337890625,8.963306427001953,4.928856372833252,0.015193584375083447,0.014932050369679928,0.015106450766324997,0.015056786127388477,0.018521713092923164,0.5763527154922485,0.6326114535331726,0.5959503650665283,0.5767582058906555,0.7367061972618103,0.13759909570217133,0.13580633699893951,0.13577866554260254,0.13654625415802002,0.16248150169849396,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
3,231,,,,,,,,,,,,,,,,,,,,,,,,,,0.813241720199585,0.5212436318397522,0.8529514670372009,0.9231366515159607,0.6782597899436951,0.8232758641242981,5.0743794441223145,0.9221271276473999,0.667242705821991,0.7409392595291138,0.8129310607910156,0.8099717497825623,0.9008620977401733
3,231,3665.428955078125,3828.5322265625,3804.894287109375,3845.04736328125,3870.0322265625,5.620026588439941,4.4547438621521,0.014536409638822079,0.014617585577070713,0.014515885151922703,0.01448728609830141,0.01666075363755226,0.5025441646575928,0.5500627160072327,0.5161427855491638,0.5015495419502258,0.6324223875999451,0.1348317414522171,0.13499954342842102,0.13393674790859222,0.13435828685760498,0.1508398950099945,,,,,,,,,,,,,,,,
4,249,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
4,289,,,,,,,,,,,,,,,,,,,,,,,,,,0.8111826777458191,0.48676055669784546,0.8421347141265869,0.9041918516159058,0.664413332939148,0.8116379380226135,5.188934803009033,0.8803728818893433,0.6489716172218323,0.7167587876319885,0.8099138140678406,0.8337209224700928,0.8534482717514038
