epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
0,57,,,,,,,,,,,,,,,,,,,,,,,,,,0.775954008102417,0.4199585020542145,0.397024005651474,0.8127848505973816,0.5970587134361267,0.8043103218078613,7.2924885749816895,0.8152370452880859,0.5979562401771545,0.6391938924789429,0.8008620738983154,0.41349726915359497,0.8663793206214905
0,57,3813.622802734375,3838.508544921875,3852.595947265625,3854.289794921875,3868.8740234375,48.215084075927734,7.742808818817139,0.016299977898597717,0.01710600219666958,0.016657203435897827,0.01632479950785637,0.018782833591103554,1.1590317487716675,1.1758736371994019,1.1620781421661377,1.1643418073654175,1.1369248628616333,0.14674681425094604,0.15158392488956451,0.14844174683094025,0.14655110239982605,0.1660274863243103,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
1,115,,,,,,,,,,,,,,,,,,,,,,,,,,0.769505500793457,0.4593120217323303,0.7892867922782898,0.852908730506897,0.6120050549507141,0.8181034326553345,6.357938766479492,0.8494433760643005,0.6144087314605713,0.6938242316246033,0.820258617401123,0.7988117337226868,0.7801724076271057
1,115,3748.106689453125,3857.35986328125,3875.146484375,3859.758544921875,3887.711181640625,23.745586395263672,6.811970233917236,0.015050851739943027,0.015241937711834908,0.015194403938949108,0.015143453143537045,0.016571734100580215,0.9587638974189758,1.038102149963379,0.9994415640830994,0.9615582227706909,1.026549220085144,0.14114850759506226,0.14247716963291168,0.14218087494373322,0.14139404892921448,0.15357205271720886,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
2,173,,,,,,,,,,,,,,,,,,,,,,,,,,0.7915570735931396,0.45880407094955444,0.7859835624694824,0.9026603698730469,0.6451622247695923,0.8150861859321594,5.757771015167236,0.8876914978027344,0.6251806020736694,0.7118381857872009,0.8129310607910156,0.7911934852600098,0.8318965435028076
2,173,3730.091552734375,3882.351318359375,3886.262939453125,3875.716552734375,3887.54736328125,6.797082424163818,5.598293781280518,0.015112428925931454,0.015281540341675282,0.015314124524593353,0.015295631252229214,0.016790665686130524,0.6381059885025024,0.8380122184753418,0.708192765712738,0.6397308707237244,0.9454665184020996,0.14044183492660522,0.14111874997615814,0.14133243262767792,0.1409912407398224,0.15602263808250427,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
3,231,,,,,,,,,,,,,,,,,,,,,,,,,,0.8127325773239136,0.5180964469909668,0.8536625504493713,0.9203346967697144,0.6711496710777283,0.8228448033332825,5.132015228271484,0.9171506762504578,0.6654145121574402,0.7559614777565002,0.8245689868927002,0.8478653430938721,0.8620689511299133
3,231,3701.17236328125,3872.52587890625,3880.658447265625,3870.34814453125,3885.2607421875,6.899315357208252,5.133669853210449,0.015272872522473335,0.01541243027895689,0.01527427975088358,0.015072924084961414,0.018942514434456825,0.5664567351341248,0.7178524136543274,0.6088129878044128,0.5677774548530579,0.8500117063522339,0.13684587180614471,0.13712909817695618,0.13631151616573334,0.1352756768465042,0.1658797264099121,,,,,,,,,,,,,,,,
4,249,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
4,289,,,,,,,,,,,,,,,,,,,,,,,,,,0.8056680560112,0.499897301197052,0.8190085887908936,0.91454017162323,0.667417049407959,0.8168103694915771,5.222739219665527,0.9056335091590881,0.652782678604126,0.7309960126876831,0.8120689392089844,0.8136646151542664,0.857758641242981
4,289,3748.3857421875,3873.62060546875,3882.643310546875,3875.61962890625,3888.480712890625,4.901635646820068,4.622319221496582,0.014341897331178188,0.014432203024625778,0.014341382309794426,0.014288604259490967,0.016901683062314987,0.5042117238044739,0.6126770377159119,0.5351532101631165,0.5084210634231567,0.7215179204940796,0.13307298719882965,0.13241659104824066,0.13248108327388763,0.13251306116580963,0.15392068028450012,,,,,,,,,,,,,,,,
5,299,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
5,347,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179910778999329,0.5342506766319275,0.8601114749908447,0.91269850730896,0.6779894828796387,0.824999988079071,4.9149250984191895,0.9051896929740906,0.6761208772659302,0.7677881121635437,0.8284482955932617,0.8785598874092102,0.8448275923728943
5,347,3783.634765625,3881.09814453125,3885.9482421875,3880.23486328125,3891.2197265625,3.7245795726776123,4.302514553070068,0.014332612976431847,0.014304296113550663,0.014332910999655724,0.01426792424172163,0.01703115925192833,0.47332847118377686,0.5509127378463745,0.49065589904785156,0.4731232821941376,0.6373322606086731,0.12619942426681519,0.12644357979297638,0.12626689672470093,0.12566953897476196,0.1483299434185028,,,,,,,,,,,,,,,,
6,349,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
6,399,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
6,405,,,,,,,,,,,,,,,,,,,,,,,,,,0.8167526125907898,0.5280711054801941,0.8483070731163025,0.9212448000907898,0.6893472671508789,0.8327586054801941,5.024007797241211,0.9020093083381653,0.6724118590354919,0.7742531299591064,0.8262931108474731,0.8162110447883606,0.8836206793785095
