epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.289,1.16787,12.5364,0.00376,0.56967,0.61341,0.59862,0.41243,1.2859,1.633,0.00569,0.000553282,0.000553282,0.000553282
2,217.828,1.38871,2.28788,0.00475,0.29443,0.64655,0.35782,0.21077,1.53036,2.39913,0.00678,0.00110163,0.00110163,0.00110163
3,319.87,1.53147,1.88803,0.00531,0.45686,0.69397,0.62417,0.3948,1.3629,1.63494,0.00616,0.00164264,0.00164264,0.00164264
4,421.697,1.54575,1.61322,0.00548,0.63793,0.68758,0.6924,0.4661,1.23096,1.28426,0.00535,0.00163399,0.00163399,0.00163399
5,523.809,1.43038,1.45306,0.00469,0.71182,0.66153,0.67183,0.45047,1.23594,3.5148,0.00536,0.00162299,0.00162299,0.00162299
6,625.676,1.35995,1.31961,0.00448,0.64252,0.72491,0.72739,0.51834,1.15193,0.99418,0.00487,0.00161199,0.00161199,0.00161199
7,728.498,1.36039,1.21771,0.00442,0.68057,0.72845,0.73398,0.50451,1.21774,1.0802,0.00518,0.00160099,0.00160099,0.00160099
8,831.123,1.33878,1.1806,0.00451,0.69293,0.66379,0.68415,0.50613,1.09396,1.23151,0.00461,0.00158998,0.00158998,0.00158998
9,933.261,1.28553,1.1619,0.00429,0.66936,0.7083,0.71607,0.51171,1.14814,0.99732,0.00498,0.00157898,0.00157898,0.00157898
10,1036.28,1.26469,1.09251,0.0042,0.69418,0.69828,0.74146,0.51688,1.14062,1.09466,0.00497,0.00156798,0.00156798,0.00156798
11,1138.9,1.25674,1.08137,0.00413,0.69344,0.67672,0.67872,0.48498,1.15323,1.13976,0.00496,0.00155698,0.00155698,0.00155698
12,1241.53,1.26577,1.16713,0.00424,0.68941,0.75204,0.78278,0.5313,1.19019,0.95744,0.00516,0.00154598,0.00154598,0.00154598
13,1345.25,1.29066,1.07681,0.00435,0.67739,0.78448,0.7933,0.57427,1.10625,0.85331,0.00466,0.00153497,0.00153497,0.00153497
