epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.002,1.14936,4.98433,0.00343,0.3515,0.60776,0.4114,0.26934,1.25372,2.065,0.00509,0.000550917,0.000550917,0.000550917
2,62.0979,1.38066,1.80613,0.00431,0.59693,0.71552,0.6593,0.38285,1.69307,1.79812,0.0074,0.00110646,0.00110646,0.00110646
3,86.3792,1.482,1.47857,0.00477,0.55457,0.65098,0.64463,0.34826,1.59021,1.68639,0.00692,0.00166153,0.00166153,0.00166153
4,109.382,1.39846,1.24371,0.00457,0.66311,0.75875,0.77097,0.52901,1.22395,1.00234,0.00524,0.00166537,0.00166537,0.00166537
5,132.08,1.31536,1.1215,0.00437,0.74827,0.6752,0.73261,0.48526,1.28858,1.04898,0.00537,0.00166411,0.00166411,0.00166411
6,154.388,1.35367,1.14175,0.00442,0.65957,0.68322,0.69271,0.46437,1.22917,1.02763,0.00497,0.00166248,0.00166248,0.00166248
7,176.925,1.37123,1.05684,0.00448,0.65791,0.71121,0.74829,0.49468,1.28522,1.00336,0.00548,0.00166049,0.00166049,0.00166049
8,201.121,1.30154,1.04183,0.0043,0.74241,0.68454,0.76807,0.53634,1.15744,0.93944,0.00489,0.00165815,0.00165815,0.00165815
9,225.213,1.30083,0.96883,0.00429,0.68071,0.77219,0.76668,0.5303,1.18704,0.91195,0.00489,0.00165544,0.00165544,0.00165544
10,247.799,1.29562,0.98341,0.00401,0.74885,0.68064,0.75792,0.55036,1.06745,0.98158,0.00435,0.00165238,0.00165238,0.00165238
11,270.831,1.24397,0.97369,0.0041,0.77257,0.74947,0.82159,0.57322,1.1515,0.8273,0.0048,0.00164897,0.00164897,0.00164897
12,293.154,1.21658,0.95099,0.00399,0.73465,0.72414,0.77457,0.55181,1.16662,0.9754,0.00486,0.0016452,0.0016452,0.0016452
13,315.659,1.25492,0.90242,0.00416,0.80442,0.72845,0.82958,0.56285,1.19367,0.84258,0.00489,0.00164108,0.00164108,0.00164108
14,339.733,1.23425,0.9062,0.0038,0.81436,0.71986,0.80853,0.57769,1.07172,0.82616,0.00436,0.0016366,0.0016366,0.0016366
15,364.058,1.18243,0.8416,0.00379,0.79249,0.72766,0.78584,0.56456,1.09935,0.79876,0.00443,0.00163178,0.00163178,0.00163178
16,389.189,1.20877,0.85527,0.00389,0.76584,0.76888,0.80942,0.575,1.09469,0.82946,0.00443,0.00162661,0.00162661,0.00162661
17,417.987,1.123,0.81219,0.00363,0.7788,0.76293,0.82666,0.60077,1.0611,0.8039,0.00432,0.0016211,0.0016211,0.0016211
18,448.957,1.2028,0.85943,0.00394,0.66293,0.7616,0.75605,0.54028,1.11332,1.00998,0.00458,0.00161525,0.00161525,0.00161525
19,481.242,1.12421,0.81433,0.00375,0.81789,0.75,0.81482,0.5827,1.06182,0.82033,0.00422,0.00160905,0.00160905,0.00160905
20,513.419,1.15056,0.74858,0.00366,0.80041,0.80543,0.83481,0.59914,1.07735,0.75733,0.00445,0.00160252,0.00160252,0.00160252
21,538.887,1.15321,0.77056,0.00366,0.83686,0.72679,0.84599,0.61236,1.03963,0.77565,0.00418,0.00159566,0.00159566,0.00159566
22,561.397,1.20421,0.79725,0.00386,0.73224,0.76411,0.7828,0.5809,1.01459,0.88391,0.00401,0.00158847,0.00158847,0.00158847
23,583.165,1.18755,0.72746,0.00377,0.74164,0.78548,0.81345,0.60519,1.02137,0.77944,0.00422,0.00158094,0.00158094,0.00158094
24,606.508,1.14098,0.71977,0.00354,0.79886,0.77707,0.85211,0.61189,1.08686,0.80255,0.00441,0.0015731,0.0015731,0.0015731
25,630.437,1.13175,0.68886,0.00346,0.83686,0.78185,0.87405,0.63475,1.04466,0.65372,0.0043,0.00156493,0.00156493,0.00156493
26,653.224,1.09682,0.63676,0.00347,0.85917,0.77586,0.87631,0.63937,1.03379,0.70954,0.00416,0.00155645,0.00155645,0.00155645
27,674.803,1.11408,0.70199,0.00346,0.80303,0.77237,0.84386,0.62369,1.00551,0.79039,0.00403,0.00154765,0.00154765,0.00154765
28,697.532,1.11866,0.71727,0.00364,0.78575,0.82507,0.84818,0.63741,1.01953,0.73005,0.00413,0.00153854,0.00153854,0.00153854
29,721.626,1.12377,0.68592,0.00346,0.81563,0.77155,0.84352,0.61483,1.04359,0.79326,0.00424,0.00152913,0.00152913,0.00152913
30,745.651,1.10144,0.69315,0.00345,0.84952,0.77013,0.85915,0.62835,1.03212,0.68735,0.00414,0.00151942,0.00151942,0.00151942
31,768.887,1.07553,0.64325,0.00328,0.7648,0.8319,0.85252,0.63161,0.95965,0.68093,0.00381,0.00150941,0.00150941,0.00150941
32,792.748,1.04696,0.63293,0.00329,0.79646,0.83329,0.85967,0.6282,1.04315,0.75129,0.00423,0.0014991,0.0014991,0.0014991
33,814.757,1.04575,0.62299,0.00337,0.79893,0.78682,0.84149,0.63849,0.98627,0.76458,0.00397,0.00148851,0.00148851,0.00148851
34,837.419,1.05761,0.57021,0.00335,0.77249,0.82945,0.8605,0.6199,1.04039,0.78832,0.00409,0.00147764,0.00147764,0.00147764
35,859.675,1.05312,0.64704,0.00328,0.81197,0.7656,0.8558,0.61789,1.02135,0.7596,0.00413,0.00146648,0.00146648,0.00146648
36,883.649,1.05999,0.55978,0.00336,0.78804,0.78846,0.84999,0.64476,0.95061,0.78121,0.00384,0.00145505,0.00145505,0.00145505
